Name,SUBDIVISION,YEAR,ANNUAL,Jan-Feb,Mar-May,June-September,Oct-Dec
ROW93,Andaman & Nicobar Islands,1998,2846.4,0.9,348.9,1561.2,935.4
ROW94,Andaman & Nicobar Islands,1999,2699.7,91.4,542.2,1358,708.1
ROW95,Andaman & Nicobar Islands,2000,2763.1,112,812.2,1244.2,594.7
ROW96,Andaman & Nicobar Islands,2001,3080.8,104.7,878.7,1515.4,582
ROW97,Andaman & Nicobar Islands,2002,2620.1,10.6,478.4,1525.5,605.6
ROW98,Andaman & Nicobar Islands,2003,2355.7,52.2,464.9,1406.1,432.5
ROW99,Andaman & Nicobar Islands,2004,2460,90.4,583.2,1392.2,394.2
ROW100,Andaman & Nicobar Islands,2005,2954.5,0,376.7,1700.3,877.5
ROW101,Andaman & Nicobar Islands,2006,2404.7,30.7,534,1314.8,525.2
ROW102,Andaman & Nicobar Islands,2007,2748.2,6.5,429.6,1793.2,518.9
ROW103,Andaman & Nicobar Islands,2008,3374.9,77.6,877.4,1783.1,636.8
ROW104,Andaman & Nicobar Islands,2009,2538.6,30.8,493.8,1627,387
ROW105,Andaman & Nicobar Islands,2010,3157.1,109.7,332.2,1797.9,917.3
ROW106,Andaman & Nicobar Islands,2011,3828,350.7,710.7,2165,601.6
ROW107,Andaman & Nicobar Islands,2012,3497.6,165.5,620.6,2014,697.5
ROW108,Andaman & Nicobar Islands,2013,3757.7,104.7,598.6,2152.1,902.3
ROW109,Andaman & Nicobar Islands,2014,2622.5,50.5,249.1,1618.7,704.2
ROW110,Andaman & Nicobar Islands,2015,2904.5,134.4,473.2,1678.6,618.3
ROW111,Andaman & Nicobar Islands,2016,2851.9,87.8,198.9,1562.6,1002.6
ROW112,Andaman & Nicobar Islands,2017,2890,234.3,417.1,1526,712.6
ROW113,Arunachal Pradesh,1916,3519.004035,117.9,811.8,2435.56378,153.7402553
ROW114,Arunachal Pradesh,1917,3626.395503,185.9,404.8955035,2772.8,262.8
ROW115,Arunachal Pradesh,1918,5486.3,21.4,1196.9,4121.3,146.7
ROW116,Arunachal Pradesh,1919,4693.9,102.3,706,2888,997.6
ROW117,Arunachal Pradesh,1920,4106.7,210.3,1143.9,2649.2,103.3
ROW118,Arunachal Pradesh,1921,5691.4,133.2,1136.3,4155.5,266.4
ROW119,Arunachal Pradesh,1922,4187.2,110.1,820.4,2723.9,532.8
ROW120,Arunachal Pradesh,1923,3507.5,170.2,720.3,2555.7,61.3
ROW121,Arunachal Pradesh,1924,4450.5,130.8,752.2,3232.3,335.2
ROW122,Arunachal Pradesh,1925,4439.8,194.6,953.5,3129.3,162.4
ROW123,Arunachal Pradesh,1926,3521.6,78.9,676.9,2386.4,379.4
ROW124,Arunachal Pradesh,1927,5253.2,256.8,636.1,3805.3,555
ROW125,Arunachal Pradesh,1928,5272.7,88.6,673.5,3849.2,661.4
ROW126,Arunachal Pradesh,1929,4320.1,204,1232.4,2521.7,362
ROW127,Arunachal Pradesh,1930,4334.3,148.7,916.8,2789.6,479.2
ROW128,Arunachal Pradesh,1931,4872.1,251,1012,3367.7,241.4
ROW129,Arunachal Pradesh,1932,4850.9,180.5,1049.8,3177.1,443.5
ROW130,Arunachal Pradesh,1933,3773.4,115.4,804.8,2586.6,266.6
ROW131,Arunachal Pradesh,1934,4575.6,173.2,1177.9,2984,240.5
ROW132,Arunachal Pradesh,1935,4173.5,161.7,680.8,3237.4,93.6
ROW133,Arunachal Pradesh,1936,4788.7,281.1,822.1,3218.6,466.9
ROW134,Arunachal Pradesh,1937,3375.1,125.5,751.2,2224.6,273.8
ROW135,Arunachal Pradesh,1938,6129.1,266.4,1042.3,4534.5,285.9
ROW136,Arunachal Pradesh,1939,3898.6,154.1,815.4,2757.6,171.5
ROW137,Arunachal Pradesh,1940,4099.5,181.2,996.2,2710.8,211.3
ROW138,Arunachal Pradesh,1941,4220.2,139.1,1055.7,2870.2,155.2
ROW139,Arunachal Pradesh,1942,3828.3,180.7,1169.1,2436.6,41.9
ROW140,Arunachal Pradesh,1943,4326.6,210.8,1265.5,2629.1,221.2
ROW141,Arunachal Pradesh,1944,3904.3,140.1,972.9,2383,408.3
ROW142,Arunachal Pradesh,1945,3649.2,151.2,800.2,2480.1,217.7
ROW143,Arunachal Pradesh,1946,4011.2,75,1011.2,2679.9,245.1
ROW144,Arunachal Pradesh,1947,4369.1,106.3,1113.2,2816.9,332.7
ROW145,Arunachal Pradesh,1948,6331.1,155.1,1745.8,4206,224.2
ROW146,Arunachal Pradesh,1949,4874.8,168.2,1291.5,3100.5,314.6
ROW147,Arunachal Pradesh,1950,2621.247704,131.4,905.2,1135.247704,449.4
ROW148,Arunachal Pradesh,1951,3354.3,97.1,1095.4,1974.7,187.1
ROW149,Arunachal Pradesh,1952,2396.1,41.7,576.2,1446.7,331.5
ROW150,Arunachal Pradesh,1953,2675.714713,163.3,765.8,1617.5,129.1147129
ROW151,Arunachal Pradesh,1957,3843.937649,40.54214574,723.1955035,2875.9,204.3
ROW152,Arunachal Pradesh,1958,5063.5,165.9,870,3338.7,688.9
ROW153,Arunachal Pradesh,1959,4195.5,221.1,922.7,2792.6,259.1
ROW154,Arunachal Pradesh,1960,3709.4,34.8,401,3236.8,36.8
ROW155,Arunachal Pradesh,1961,3676.5,254.2,962.9,2137.9,321.5
ROW156,Arunachal Pradesh,1962,4810.825542,124.3,897.3,3475.2,314.0255424
ROW157,Arunachal Pradesh,1963,4138,49.8,777.6,3138.5,172.1
ROW158,Arunachal Pradesh,1964,4959.3,145.7,587.2,3896.1,330.3
ROW159,Arunachal Pradesh,1965,2196.8,158.1,665,1244.7,129
ROW160,Arunachal Pradesh,1966,2209.7,113.9,456.5,1515.1,124.2
ROW161,Arunachal Pradesh,1967,1668.5,58.8,408.5,1121.2,80
